,user_id,parent_asin,title_y,weighted_rating
0,72061,4594,Cyberpunk 2077 - PC [Game Download Code in Box],4.12232191211094
10,67838,515,Gioteck PS3 Dual L / R Triggers Controller Attachments for Playstation 3,3.990862022518816
11,67838,10045,"Younik Vertical Stand for PS-4 Slim, Built-in Cooling Vents and Non-Slip Feet Steady Base Mount for PS-4 Slim, Black",4.567120287954602
13,27520,9885,"AMVR Controller Grips for Quest 2, Controller Protector Cover with Anti-Throw Adjustable Knuckle Straps (Black)",4.38161008582525
16,27520,8406,"Seltureone Accessories Compatible for Quest 2 Controller Full Grip Cover with 2 Controller Caps, Anti-Slip Anti-Fall Protective Silicone Sleeve with Hand Strap for Quest 2 Headset, White",4.365231113137121
17,27520,7185,KIWI design VR Stand Compatible with Quest 2/Rift/Rift S/GO/HTC Vive/Vive Pro/Valve Index/Quest VR Headset and Touch Controllers (Black),4.4612470198054375
19,30216,4896,Microsoft Xbox Wireless Controller - Phantom Black Special Edition - Xbox One (Discontinued),4.5742779362849415
21,56270,2022,Just Dance 2015 - Wii,4.645381360710288
24,79916,1004,uDraw GameTablet with uDraw Studio - Nintendo Wii,3.7383843931115766
26,42013,1192,Pokémon X,4.571339443352563
27,42013,1416,Nintendo 3DS XL - Blue/Black [Old Model] Games Included,4.45720342063116
29,63421,5127,Hasbro Game Night (Nintendo Switch),4.576654764072505
35,86960,8142,"Wired Controller for Xbox One, JORREP 6.6ft Wired Controller Pro with Audio Jack, Vibration Feedback, Wired Gamepad for Xbox One S/One X, Windows 7/8/10",4.113218929716079
36,38395,2544,Nyko Intercooler Stand - Cooling Attachment with Short USB Power Cord for Xbox One,4.380393952090727
37,74742,8765,"Mayflash F300 Arcade Fight Stick Joystick for Switch, Xbox Series X, PS4,PS3, Xbox One, Xbox 360, macOS, Windows, Steam Deck, NeoGeo mini, NeoGeo Arcade Stick Pro",4.488215819968792
38,74742,2951,Nintendo Pokemon Go Plus,4.106299451870806
40,74742,5419,"EVORETRO Gamecube Controller Compatible for Switch, wii Console and PC Games - 4 Pack Bundle with 4 Extension Cords and a 4-Port Adapter",4.453591232280762
42,9395,7264,"POWZAN Light Up Quiet Gaming Keyboard - Membrane Silent Wired Keyboard with Low Profile Lighted Key for Computer, Windows PC Gamer - Full Size, Black",4.10896588701949
43,96493,9939,"Corsair Virtuoso RGB Wireless Gaming Headset - High-Fidelity 7.1 Surround Sound w/Broadcast Quality Microphone - Memory Foam Earcups - 20 Hour Battery Life - Works with PC, PS5, PS4 – White, Premium",4.297820488950284
44,23677,7106,Crossroads,4.546492130942546
45,32200,7380,ANVWW Wireless Switch Pro Controller Remote Gamepad Joystick Joypad for Switch/Switch Lite/Switch OLED Model,4.370630297710205
49,111576,1681,Rocksmith 2014 Edition - PC/Mac (Cable Included),4.208856366540074
52,57253,4191,Remote Controller and Nunchuck Controller Replacement for Nintendo Wii and Wii U Controller，Crifeir Wireless Remote and Nunchuck Controller with Silicone Case and Wrist Strap (White),4.29384223161174
53,116707,1917,LEGO The Hobbit - PlayStation 3,4.443200094155591
62,79513,633,Mario Kart Wii,4.67929875163224
67,61382,6455,USB Wireless Gaming Controller Gamepad for PC/Laptop Computer(Windows XP/7/8/10) & PS3 & Android & Steam (Blue),3.8808524371064665
71,103357,9594,YoRHa Silicone Rubber Back Dots Carving Customizing Skin Cover for Xbox Series X/S Controller x 1(BH Purple) with Pro Thumb Grips x 10,4.359144939272856
73,37285,9379,"NexiGo Enhanced Charging Dock with LED Light for Oculus Quest 2, [Support Elite Strap with Battery], Headset Display Stand and Controller Mount, 2 Rechargeable Batteries, Magnetic Cable",4.477852208049926
75,89571,779,Kid Icarus: Uprising,4.430258883068977
77,89571,705,Nintendo Retrolink USB Super SNES Classic Controller,4.221360578321706
79,125196,2279,Old Skool Ac Power Adapter for the Nintendo Gamecube System,4.4625753691452825
80,125196,2763,HORI Super Mario Maker GamePad Protector for Nintendo Wii U,4.518827437756995
81,125196,2150,Nintendo Super Smash Bros. White Classic Gamecube Controller,4.641252274161717
83,43899,10449,"VINDIJA Head Strap for Oculus Quest 2 with Battery, Built-in 6000mAh Battery, Replacement Elite Strap for Quest 2 Accessories with Gravity Balance for Enhanced Support and Comfort",4.476428023801885
88,43899,7071,"RIG 400HX Stereo Gaming Headset for Xbox One, White - Xbox One",4.287376901996861
90,43899,2920,Forza Horizon 3 – Xbox One,4.656383431487074
91,51830,2093,World of Warcraft: Warlords of Draenor Expansion - PC/Mac,4.1470412136995005
98,59728,910,Nancy Drew: The Phantom of Venice [Download],4.228300513050699
109,59728,911,Nancy Drew: The Creature of Kapu Cave [Download],4.123526673684356
139,119369,5848,"Arcade 1Up Golden Tee Classic Arcade with Riser, 5ft",4.338802879747624
140,120153,5769,"3DS Charger, Dsi Charger, AC Adapter Charger Home Travel Charger Wall Plug Power Adapter (100-240 v) Compatible with New 3DS 2DS 2DS XL 2DS DSi DSi XL",4.5722320887462145
144,120153,1167,SiNG Party with Wii U Microphone,4.348256680163971
145,101886,4854,AreMe AC Power Supply Adapter and AV Cable for Wii Console,4.409236441123261
146,101886,4575,Razer Huntsman Elite Gaming Keyboard: Fast Keyboard Switches - Clicky Optical Switches - Chroma RGB Lighting - Magnetic Plush Wrist Rest - Dedicated Media Keys & Dial - Classic Black,4.673672438317156
149,101886,4454,Amazon Basics PlayStation 4 Controller Thumb Grips,4.228142188502163
